,company,url
188,NIBE Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/nibe/KF
189,Nicco Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/niccocorporation/NC06
190,Nicco Park and Resorts Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/niccoparkresorts/NPR01
191,Nicco Uco Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/niccoucofin/niccoucofinancialservices/NUF
192,Nidan Laboratories & Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/nidanlaboratorieshealthcare/NLH
193,Nidhi Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/nidhigranites/nidhigranites/NG01
194,Nidhi Polyesters Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/nidhipolyesters/NP11
195,NIPPON INDIA EQUITY HYBRID FUN Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nipponindiaequityhybridfun/NIEHS54284
196,NIPPON INDIA EQUITY SAVINGS FU Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nipponindiaequitysavingsfu/NIESS54283
197,NIPPON INDIA ETF Nifty 100,https://www.moneycontrol.com/india/stockpricequote/nif100bees/nipponindiaetfnifty100/RSC03
,company,url
0,Nippon India ETF Nifty 50 BeES,https://www.moneycontrol.com/india/stockpricequote/niftybees/nipponindiaetfnifty50bees/NBE01
1,NIFTYQLITY Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/niftyqlity/NIFTY10690
2,Nihar Info Global Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/niharinfoglobal/NIG
3,Nihon Nirmaan Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/nihonnirmaan/NN
4,NIIT Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/niit/NII
5,Nijjer Agro Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nijjeragroproducts/NAP
6,Nikhil Adhesives Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/nikhiladhesives/NA01
7,Nikki Global Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/nikkiglobalfinance/NGF
8,Niks Technology Ltd.,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/nikstechnology/NT01
9,Nikumbh Dairy Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nikumbhdairyproducts/NDP
10,Nila Infrastructures Ltd.,https://www.moneycontrol.com/india/stockpricequote/nilainfra/nilainfrastructures/NHI
11,Nila Spaces Ltd.,https://www.moneycontrol.com/india/stockpricequote/nilaspaces/nilaspaces/NILAS7450
12,Nilachal Refractories Ltd.,https://www.moneycontrol.com/india/stockpricequote/nilachalrefra/nilachalrefractories/I
13,Nile Ltd.,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/nile/N01
14,Nilkamal Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/nilkamal/NP08
15,Nilkanth Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/nilkanthengineering/NEL01
16,Nilsin Ultrachem Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/nilsinultrachem/NUL01
17,Nimbus Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/nimbus/N51
18,Nimbus Foods Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/nimbusfoodsindustries/NFI01
19,Nimbus Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/nimbusindustries/NI07
20,Nimbus Projects Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/nimbusprojects/NCJ
21,NINtec SYSTEMS Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/nintecsystems/NSL04
22,Nippon Life India Asset Management Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nipponlifeindiaassetmanagement/RNL
23,Nippon India ETF Gold BeES,https://www.moneycontrol.com/india/stockpricequote/nipponetfgold/nipponindiaetfgoldbees/GBE
24,Nippon India ETF Hang Seng BeES,https://www.moneycontrol.com/india/stockpricequote/nipponetfha/nipponindiaetfhangsengbees/BMF01
25,Nippon India Growth Fund Units Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/nipponindiagrowthfundunits/RGF
26,Nippon India ETF Nifty PSU Bank BeES,https://www.moneycontrol.com/india/stockpricequote/nipponpsubank/nipponindiaetfniftypsubankbees/BMF
27,Niraj Cement Structurals Ltd.,https://www.moneycontrol.com/india/stockpricequote/cement/nirajcementstructurals/NCS02
28,Niraj Ispat Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miningminerals/nirajispatindustries/NII03
29,Niraj Petrochemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/nirajpetrochemicals/NPL
30,Niraj Petro Ltd.,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/nirajpetro/NP12
31,Nirav Commercial Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/niravcommercial/NC04
32,Nirbhay Colours India Ltd.,https://www.moneycontrol.com/india/stockpricequote/nirbhaycolours/nirbhaycoloursindia/PI05
